Type	Name	Rev	New Name	New Rev	Policy	State	Vault	Owner	description	CAS Number	Substance Name	Originator	GWM GADSL	GWM From-To	GWM EC name	GWM EC number	GWM IUPAC name	GWM Molecular Formula	GWM Ref CAS name	GWM Ref CAS number	GWM Ref EC name	GWM Ref EC number	GWM Ref IUPAC name	GWM Reference Substance	GWM REACH
Substance					Substance	Active	eService Production	creator		12017-13-9		creator	D												
Substance					Substance	Active	eService Production	creator		12017-38-8		creator	D												
Substance					Substance	Active	eService Production	creator		12017-43-5		creator	D												
Substance					Substance	Active	eService Production	creator		12017-50-4		creator	D												
Substance					Substance	Active	eService Production	creator		12017-61-7		creator	D												
Substance					Substance	Active	eService Production	creator		12017-65-1		creator	D												
Substance					Substance	Active	eService Production	creator		12017-67-3		creator	D												
Substance					Substance	Active	eService Production	creator		12017-68-4		creator	D												
Substance					Substance	Active	eService Production	creator		12017-71-9		creator	D												
Substance					Substance	Active	eService Production	creator		12017-86-6		creator	D/P												
Substance					Substance	Active	eService Production	creator		12018-18-7		creator	D												
Substance					Substance	Active	eService Production	creator		12021-67-9		creator	D												
Substance					Substance	Active	eService Production	creator		12023-90-4		creator	D/P												
Substance					Substance	Active	eService Production	creator		12029-23-1		creator	D/P												
Substance					Substance	Active	eService Production	creator		12031-65-1		creator	D												
Substance					Substance	Active	eService Production	creator		12034-30-9		creator	D/P												
Substance					Substance	Active	eService Production	creator		12034-55-8		creator	D												
Substance					Substance	Active	eService Production	creator		12034-88-7		creator	D/P												
Substance					Substance	Active	eService Production	creator		12035-36-8		creator	D												
Substance					Substance	Active	eService Production	creator		12035-38-0		creator	D												
Substance					Substance	Active	eService Production	creator		12035-39-1		creator	D												
Substance					Substance	Active	eService Production	creator		12035-52-8		creator	D												
Substance					Substance	Active	eService Production	creator		12035-57-3		creator	D												
Substance					Substance	Active	eService Production	creator		12035-64-2		creator	D												
Substance					Substance	Active	eService Production	creator		12035-72-2		creator	D												
Substance					Substance	Active	eService Production	creator		12036-31-6		creator	D/P												
Substance					Substance	Active	eService Production	creator		12036-76-9		creator	D/P												SVHC
Substance					Substance	Active	eService Production	creator		12039-52-0		creator	D												
Substance					Substance	Active	eService Production	creator		12044-16-5		creator	D												
Substance					Substance	Active	eService Production	creator		12044-20-1		creator	D												
Substance					Substance	Active	eService Production	creator		12044-21-2		creator	D												
Substance					Substance	Active	eService Production	creator		12044-22-3		creator	D												
Substance					Substance	Active	eService Production	creator		12044-25-6		creator	D												
Substance					Substance	Active	eService Production	creator		12044-28-9		creator	D												
Substance					Substance	Active	eService Production	creator		12044-42-7		creator	D												
Substance					Substance	Active	eService Production	creator		12044-49-4		creator	D												
Substance					Substance	Active	eService Production	creator		12044-52-9		creator	D												
Substance					Substance	Active	eService Production	creator		12044-54-1		creator	D												
Substance					Substance	Active	eService Production	creator		12044-55-2		creator	D												
Substance					Substance	Active	eService Production	creator		12045-01-1		creator	D												
Substance					Substance	Active	eService Production	creator		12048-28-1		creator	D/P												
Substance					Substance	Active	eService Production	creator		12052-28-7		creator	D												
Substance					Substance	Active	eService Production	creator		12052-42-5		creator	D												
Substance					Substance	Active	eService Production	creator		12052-62-9		creator	D												
Substance					Substance	Active	eService Production	creator		12052-70-9		creator	D												
Substance					Substance	Active	eService Production	creator		12052-78-7		creator	D												
Substance					Substance	Active	eService Production	creator		12054-48-7		creator	D												
Substance					Substance	Active	eService Production	creator		12055-37-7		creator	D/P												
Substance					Substance	Active	eService Production	creator		12059-14-2		creator	D												
Substance					Substance	Active	eService Production	creator		12059-23-3		creator	D												
Substance					Substance	Active	eService Production	creator		12059-89-1		creator	D/P												
Substance					Substance	Active	eService Production	creator		12060-00-3		creator	D/P												SVHC
Substance					Substance	Active	eService Production	creator		12060-01-4		creator	D/P												
Substance					Substance	Active	eService Production	creator		12065-68-8		creator	D/P												
Substance					Substance	Active	eService Production	creator		12065-90-6		creator	D/P												SVHC
Substance					Substance	Active	eService Production	creator		12068-61-0		creator	D												
Substance					Substance	Active	eService Production	creator		12068-90-5		creator	D/P												
Substance					Substance	Active	eService Production	creator		12069-00-0		creator	P												
Substance					Substance	Active	eService Production	creator		12069-68-0		creator	D												
Substance					Substance	Active	eService Production	creator		12078-25-0		creator	D												
Substance					Substance	Active	eService Production	creator		121053-28-9		creator	D												
Substance					Substance	Active	eService Production	creator		121-14-2		creator	D/P												SVHC
Substance					Substance	Active	eService Production	creator		12125-56-3		creator	D												
Substance					Substance	Active	eService Production	creator		12134-02-0		creator	D												
Substance					Substance	Active	eService Production	creator		12136-15-1		creator	D/P												
Substance					Substance	Active	eService Production	creator		12137-74-5		creator	D/P												
Substance					Substance	Active	eService Production	creator		12139-22-9		creator	D/P												
Substance					Substance	Active	eService Production	creator		12139-23-0		creator	D/P												
Substance					Substance	Active	eService Production	creator		12141-20-7		creator	D/P												SVHC
Substance					Substance	Active	eService Production	creator		12142-88-0		creator	D												
Substance					Substance	Active	eService Production	creator		12142-92-6		creator	D												
Substance					Substance	Active	eService Production	creator		12168-54-6		creator	D												
Substance					Substance	Active	eService Production	creator		12172-67-7		creator	D												
Substance					Substance	Active	eService Production	creator		12172-73-5		creator	P												SVHC
Substance					Substance	Active	eService Production	creator		12175-27-8		creator	D												
Substance					Substance	Active	eService Production	creator		12179-04-3		creator	D/P												SVHC
Substance					Substance	Active	eService Production	creator		12185-64-7		creator	D/P												
Substance					Substance	Active	eService Production	creator		12187-14-3		creator	D/P												
Substance					Substance	Active	eService Production	creator		12187-43-8		creator	D												
Substance					Substance	Active	eService Production	creator		12187-46-1		creator	D												
Substance					Substance	Active	eService Production	creator		12190-79-3		creator	D												
Substance					Substance	Active	eService Production	creator		12196-72-4		creator	D												
Substance					Substance	Active	eService Production	creator		12201-89-7		creator	D												
Substance					Substance	Active	eService Production	creator		12202-17-4		creator	D/P												SVHC
Substance					Substance	Active	eService Production	creator		12205-72-0		creator	D/P												
Substance					Substance	Active	eService Production	creator		12213-70-6		creator	D/P												
Substance					Substance	Active	eService Production	creator		12214-12-9		creator	D/P												
Substance					Substance	Active	eService Production	creator		12214-13-0		creator	D												
Substance					Substance	Active	eService Production	creator		12228-40-9		creator	D												
Substance					Substance	Active	eService Production	creator		12230-71-6		creator	D												
Substance					Substance	Active	eService Production	creator		12232-25-6		creator	D												
Substance					Substance	Active	eService Production	creator		12232-27-8		creator	D												
Substance					Substance	Active	eService Production	creator		122332-23-4		creator	D/P												
Substance					Substance	Active	eService Production	creator		122-39-4		creator	D												
Substance					Substance	Active	eService Production	creator		12254-85-2		creator	D												
Substance					Substance	Active	eService Production	creator		12254-88-5		creator	D												
Substance					Substance	Active	eService Production	creator		12255-04-8		creator	D												
Substance					Substance	Active	eService Production	creator		12255-08-2		creator	D												
