Type	Name	Rev	New Name	New Rev	Policy	State	Vault	Owner	description	CAS Number	Substance Name 	Originator	GWM GADSL	GWM From-To	GWM EC name	GWM EC number	GWM IUPAC name	GWM Molecular Formula	GWM Ref CAS name	GWM Ref CAS number	GWM Ref EC name	GWM Ref EC number	GWM Ref IUPAC name	GWM Reference Substance	GWM REACH
Substance	SUB-900000000112		SUB-900000000112		Substance	Active	eService Production	creator		138-93-2	Disodium cyanodithiocarbamate		D/P												
Substance	SUB-900000000113		SUB-900000000113		Substance	Active	eService Production	creator		139-07-1	Benzododecinium chloride		D/P												
Substance	SUB-900000000114		SUB-900000000114		Substance	Active	eService Production	creator		139-08-2	Miristalkonium chloride		D/P												
Substance	SUB-900000000115		SUB-900000000115		Substance	Active	eService Production	creator		139734-65-9	Amines, n-C10-16-alkyltrimethylenedi-, reaction products with chloroacetic acid		D/P												
Substance	SUB-900000000116		SUB-900000000116		Substance	Active	eService Production	creator		140-95-4	1,3-bis(hydroxymethyl)urea		D/P												
Substance	SUB-900000000117		SUB-900000000117		Substance	Active	eService Production	creator		14214-24-5	Dibutyltin disalicylate		D/P												
Substance	SUB-900000000118		SUB-900000000118		Substance	Active	eService Production	creator		142-59-6	Nabam; Disodium ethylenebis(N,N'-dithiocarbamate)		D/P												
Substance	SUB-900000000119		SUB-900000000119		Substance	Active	eService Production	creator		142731-63-3	4-(1-Ethyl-1,4-dimethylpentyl)phenol		D												
Substance	SUB-900000000120		SUB-900000000120		Substance	Active	eService Production	creator		14332-32-2	Nickel hydride (NiH)		D												
Substance	SUB-900000000121		SUB-900000000121		Substance	Active	eService Production	creator		14409-72-4	Nonaethylene glycol p-nonylphenyl ether; NONOXYNOL 9		D												
Substance	SUB-900000000122		SUB-900000000122		Substance	Active	eService Production	creator		14548-60-8	(benzyloxy)methanol		D/P												
Substance	SUB-900000000123		SUB-900000000123		Substance	Active	eService Production	creator		145538-74-5	Bis(pentabromophenyl) ether (decabromodiphenyl ether) (DecaBDE)		P												
Substance	SUB-900000000124		SUB-900000000124		Substance	Active	eService Production	creator		148-79-8	Thiabendazole; Thiabendazol; 2-(Thiazole-4-yl)benzimidazole		D												
Substance	SUB-900000000125		SUB-900000000125		Substance	Active	eService Production	creator		148875-95-0	C3H3FBr4		P												
Substance	SUB-900000000126		SUB-900000000126		Substance	Active	eService Production	creator		148875-98-3	C3H2F2Br4		P												
Substance	SUB-900000000127		SUB-900000000127		Substance	Active	eService Production	creator		14915-37-8	Bis(2-sulfidopyridin-1-olato)copper; bis(1-hydroxy-1H-pyridine-2-thionato-O,S)copper		D/P												
Substance	SUB-900000000128		SUB-900000000128		Substance	Active	eService Production	creator		151126-94-2	C.I. Disperse Orange 149		D/P												
Substance	SUB-900000000129		SUB-900000000129		Substance	Active	eService Production	creator		15166-06-0	Heptanoic acid, 2,2,3,3,4,4,5,5,6,7,7,7-dodecafluoro-6-(trifluoromethyl)-		D												
Substance	SUB-900000000130		SUB-900000000130		Substance	Active	eService Production	creator		153719-23-4	Thiamethoxam		D/P												
Substance	SUB-900000000131		SUB-900000000131		Substance	Active	eService Production	creator		15545-48-9	Chlorotoluron; 3-(3-chloro-p-tolyl)-1,1-dimethylurea		D/P												
Substance	SUB-900000000132		SUB-900000000132		Substance	Active	eService Production	creator		155925-27-2	Silver sodium zirconium hydrogenphosphate		D												
Substance	SUB-900000000133		SUB-900000000133		Substance	Active	eService Production	creator		156609-10-8	4-t-Nonylphenol-diethoxylate		D												
Substance	SUB-900000000134		SUB-900000000134		Substance	Active	eService Production	creator		15666-29-2	Distannathiane, 1,3-dibutyl-1,3-dithioxo-		D/P												
Substance	SUB-900000000135		SUB-900000000135		Substance	Active	eService Production	creator		15715-47-6	Heptanoic acid, 2,2,3,3,4,4,5,5,6,7,7,7-dodecafluoro-6-(trifluoromethyl)-, aluminum salt(3:1)		D												
Substance	SUB-900000000136		SUB-900000000136		Substance	Active	eService Production	creator		15719-34-3	Dibutyltin diisothiocyanate		D/P												
Substance	SUB-900000000137		SUB-900000000137		Substance	Active	eService Production	creator		15733-22-9	Sodium p-chloro-m-cresolate		D/P												
Substance	SUB-900000000138		SUB-900000000138		Substance	Active	eService Production	creator		15739-82-9	Heptanoic acid, 2,2,3,3,4,4,5,5,6,7,7,7-dodecafluoro-6-(trifluoromethyl)-, chromium salt(1:x)		D												
Substance	SUB-900000000139		SUB-900000000139		Substance	Active	eService Production	creator		160336-09-4	2-Propenoic acid, C16-18-alkyl esters, polymers with 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl acrylate		D												
Substance	SUB-900000000140		SUB-900000000140		Substance	Active	eService Production	creator		16083-78-6	2-Propenoic acid,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,17,17,17-octacosafluoro-2-hydroxy-16-(trifluoromethyl)heptadecyl ester		D												
Substance	SUB-900000000141		SUB-900000000141		Substance	Active	eService Production	creator		16083-87-7	2-Propenoic acid,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,15,15,15-tetracosafluoro-2-hydroxy-14-(trifluoromethyl)pentadecyl ester		D												
Substance	SUB-900000000142		SUB-900000000142		Substance	Active	eService Production	creator		161045-59-6	Poly[[1,3-bis(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl )-1,3:1,3-disiloxanediylidene]-1,3-		D												
Substance	SUB-900000000143		SUB-900000000143		Substance	Active	eService Production	creator		163269-30-5	Bethoxazin/3-benzo[b]thien-2-yl-5,6-dihydro-1,4,2-oxathiazine 4-oxide 		D/P												
Substance	SUB-900000000144		SUB-900000000144		Substance	Active	eService Production	creator		165320-75-2	1,5-Trisiloxanediol, 3-(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)-1,1,3,5,5-pentamethyl- (9CI)		D												
Substance	SUB-900000000145		SUB-900000000145		Substance	Active	eService Production	creator		16731-55-8	Dipotassium disulphite		D/P												
Substance	SUB-900000000146		SUB-900000000146		Substance	Active	eService Production	creator		169102-57-2	(1R, 2S, 5S, 6S, 9S, 10R)-1,2,5,6,9,10-Hexabromocyclododecane		D/P												
Substance	SUB-900000000147		SUB-900000000147		Substance	Active	eService Production	creator		16961-83-4	Hexafluorosilicic acid		D/P												
Substance	SUB-900000000148		SUB-900000000148		Substance	Active	eService Production	creator		17404-66-9	p-(1-Methyloctyl)phenol		D												
Substance	SUB-900000000149		SUB-900000000149		Substance	Active	eService Production	creator		1762-84-1	4-Bromo-p-terphenyl(1,1':4',1''-Terphenyl, 4-bromo-)		D												
Substance	SUB-900000000150		SUB-900000000150		Substance	Active	eService Production	creator		1762-87-4	3-bromo-p-terphenyl 		D												
Substance	SUB-900000000151		SUB-900000000151		Substance	Active	eService Production	creator		17741-60-5	2-(Perfluorodecyl) ethyl acrylate,  2-Propenoic acid, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl ester		D												
Substance	SUB-900000000152		SUB-900000000152		Substance	Active	eService Production	creator		1777-82-8	2,4-dichlorobenzyl alcohol		D/P												
Substance	SUB-900000000153		SUB-900000000153		Substance	Active	eService Production	creator		17788-94-2	4,4'-Dibromo-p-terphenyl 		D												
Substance	SUB-900000000154		SUB-900000000154		Substance	Active	eService Production	creator		177997-13-6	Lithium nickel cobalt aluminum oxide		D												
Substance	SUB-900000000155		SUB-900000000155		Substance	Active	eService Production	creator		1786-38-5	1,3-Dibromo-2-fluoropropane		P												
Substance	SUB-900000000156		SUB-900000000156		Substance	Active	eService Production	creator		18017-22-6	Heptanoic acid, 2,2,3,3,4,4,5,5,6,7,7,7-dodecafluoro-6-(trifluoromethyl)- , sodium salt(1:1)		D												
Substance	SUB-900000000157		SUB-900000000157		Substance	Active	eService Production	creator		1802181-67-4	Poly[iminocarbonimidoyliminocarbonimidoylimino-1,6-hexanediyl], hydrochloride		D												
Substance	SUB-900000000158		SUB-900000000158		Substance	Active	eService Production	creator		1812247-17-8	Hexanoic acid, 3,3,4,4,5,5,6,6,6-nonafluoro-2,2-bis(trifluoromethyl)-		D												
